Labels,T1_data_new_corrected,
250.00,2.32656689E+1,
251.00,2.72082825E+1,
252.00,3.11688805E+1,
253.00,3.51654396E+1,
254.00,3.92159500E+1,
255.00,4.33383865E+1,
256.00,4.75507317E+1,
257.00,5.18709679E+1,
258.00,5.63170815E+1,
259.00,6.09070549E+1,
260.00,6.56588593E+1,
261.00,7.05902557E+1,
262.00,7.57181320E+1,
263.00,8.10590973E+1,
264.00,8.66297989E+1,
265.00,9.24468842E+1,
266.00,9.85270157E+1,
267.00,1.04886780E+2,
268.00,1.11542847E+2,
269.00,1.18511871E+2,
270.00,1.25810478E+2,
271.00,1.33455353E+2,
272.00,1.41463470E+2,
273.00,1.49851776E+2,
274.00,1.58637283E+2,
275.00,1.67836975E+2,
276.00,1.77467880E+2,
277.00,1.87546967E+2,
278.00,1.98091217E+2,
279.00,2.09117630E+2,
280.00,2.20643219E+2,
281.00,2.32685379E+2,
282.00,2.45263260E+2,
283.00,2.58396362E+2,
284.00,2.72104248E+2,
285.00,2.86406464E+2,
286.00,3.01322540E+2,
287.00,3.16872009E+2,
288.00,3.33074463E+2,
289.00,3.49949402E+2,
290.00,3.67516388E+2,
291.00,3.85796143E+2,
292.00,4.04814148E+2,
293.00,4.24597107E+2,
294.00,4.45171661E+2,
295.00,4.66564484E+2,
296.00,4.88802277E+2,
297.00,5.11911713E+2,
298.00,5.35919434E+2,
299.00,5.60852112E+2,
300.00,5.86736511E+2,
301.00,6.13597595E+2,
302.00,6.41454102E+2,
303.00,6.70323303E+2,
304.00,7.00222290E+2,
305.00,7.31168152E+2,
306.00,7.63178040E+2,
307.00,7.96269104E+2,
308.00,8.30458618E+2,
309.00,8.65763550E+2,
310.00,9.02201172E+2,
311.00,9.39794373E+2,
312.00,9.78589600E+2,
313.00,1.01863916E+3,
314.00,1.05999524E+3,
315.00,1.10271021E+3,
316.00,1.14683643E+3,
317.00,1.19242590E+3,
318.00,1.23953101E+3,
319.00,1.28820422E+3,
320.00,1.33849744E+3,
321.00,1.39046008E+3,
322.00,1.44412805E+3,
323.00,1.49953491E+3,
324.00,1.55671338E+3,
325.00,1.61569690E+3,
326.00,1.67651819E+3,
327.00,1.73921082E+3,
328.00,1.80380750E+3,
329.00,1.87034143E+3,
330.00,1.93884570E+3,
331.00,2.00936316E+3,
332.00,2.08197388E+3,
333.00,2.15676758E+3,
334.00,2.23383472E+3,
335.00,2.31326416E+3,
336.00,2.39514648E+3,
337.00,2.47957129E+3,
338.00,2.56662842E+3,
339.00,2.65640771E+3,
340.00,2.74899902E+3,
341.00,2.84448560E+3,
342.00,2.94292529E+3,
343.00,3.04436865E+3,
344.00,3.14886670E+3,
345.00,3.25647046E+3,
346.00,3.36723071E+3,
347.00,3.48119897E+3,
348.00,3.59842554E+3,
349.00,3.71896118E+3,
350.00,3.84285840E+3,
351.00,3.97016724E+3,
352.00,4.10094385E+3,
353.00,4.23524463E+3,
354.00,4.37312549E+3,
355.00,4.51464258E+3,
356.00,4.65985254E+3,
357.00,4.80881104E+3,
358.00,4.96157471E+3,
359.00,5.11819971E+3,
360.00,5.27874170E+3,
361.00,5.44323584E+3,
362.00,5.61162646E+3,
363.00,5.78383594E+3,
364.00,5.95978760E+3,
365.00,6.13940430E+3,
366.00,6.32260938E+3,
367.00,6.50932422E+3,
368.00,6.69947266E+3,
369.00,6.89297803E+3,
370.00,7.08976172E+3,
371.00,7.28975195E+3,
372.00,7.49289697E+3,
373.00,7.69914795E+3,
374.00,7.90845654E+3,
375.00,8.12077588E+3,
376.00,8.33605664E+3,
377.00,8.55425293E+3,
378.00,8.77531543E+3,
379.00,8.99919727E+3,
380.00,9.22584863E+3,
381.00,9.45525098E+3,
382.00,9.68750391E+3,
383.00,9.92273340E+3,
384.00,1.01610664E+4,
385.00,1.04026289E+4,
386.00,1.06475479E+4,
387.00,1.08959502E+4,
388.00,1.11479629E+4,
389.00,1.14037139E+4,
390.00,1.16633281E+4,
391.00,1.19269541E+4,
392.00,1.21948262E+4,
393.00,1.24672002E+4,
394.00,1.27443301E+4,
395.00,1.30264727E+4,
396.00,1.33138818E+4,
397.00,1.36068145E+4,
398.00,1.39055234E+4,
399.00,1.42102656E+4,
400.00,1.45212979E+4,
401.00,1.48388350E+4,
402.00,1.51629424E+4,
403.00,1.54936465E+4,
404.00,1.58309766E+4,
405.00,1.61749570E+4,
406.00,1.65256133E+4,
407.00,1.68829746E+4,
408.00,1.72470664E+4,
409.00,1.76179160E+4,
410.00,1.79955508E+4,
411.00,1.83800039E+4,
412.00,1.87713320E+4,
413.00,1.91695938E+4,
414.00,1.95748535E+4,
415.00,1.99871738E+4,
416.00,2.04066191E+4,
417.00,2.08332480E+4,
418.00,2.12671270E+4,
419.00,2.17083164E+4,
420.00,2.21568770E+4,
421.00,2.26128340E+4,
422.00,2.30760703E+4,
423.00,2.35464180E+4,
424.00,2.40237188E+4,
425.00,2.45078145E+4,
426.00,2.49985430E+4,
427.00,2.54957402E+4,
428.00,2.59992520E+4,
429.00,2.65089160E+4,
430.00,2.70245664E+4,
431.00,2.75460781E+4,
432.00,2.80734141E+4,
433.00,2.86065840E+4,
434.00,2.91455801E+4,
435.00,2.96904023E+4,
436.00,3.02410488E+4,
437.00,3.07975273E+4,
438.00,3.13598262E+4,
439.00,3.19279492E+4,
440.00,3.25018945E+4,
441.00,3.30816914E+4,
442.00,3.36674609E+4,
443.00,3.42593555E+4,
444.00,3.48575273E+4,
445.00,3.54621289E+4,
446.00,3.60733086E+4,
447.00,3.66912188E+4,
448.00,3.73160156E+4,
449.00,3.79478398E+4,
450.00,3.85868516E+4,
451.00,3.92331641E+4,
452.00,3.98867188E+4,
453.00,4.05474297E+4,
454.00,4.12151992E+4,
455.00,4.18899375E+4,
456.00,4.25715586E+4,
457.00,4.32599570E+4,
458.00,4.39550547E+4,
459.00,4.46567461E+4,
460.00,4.53649531E+4,
461.00,4.60796055E+4,
462.00,4.68007305E+4,
463.00,4.75283945E+4,
464.00,4.82626641E+4,
465.00,4.90035898E+4,
466.00,4.97512305E+4,
467.00,5.05056641E+4,
468.00,5.12669375E+4,
469.00,5.20351172E+4,
470.00,5.28102617E+4,
471.00,5.35924492E+4,
472.00,5.43818945E+4,
473.00,5.51787891E+4,
474.00,5.59833633E+4,
475.00,5.67958320E+4,
476.00,5.76164180E+4,
477.00,5.84453281E+4,
478.00,5.92827891E+4,
