Labels	D1-data	
200.00	1.00000000E+0	
201.00	9.92213786E-1	
202.00	9.81912971E-1	
203.00	9.75823581E-1	
204.00	9.68413293E-1	
205.00	9.60414171E-1	
206.00	9.52154934E-1	
207.00	9.43739235E-1	
208.00	9.35185373E-1	
209.00	9.26489115E-1	
210.00	9.17643189E-1	
211.00	9.08644497E-1	
212.00	8.99495542E-1	
213.00	8.90202999E-1	
214.00	8.80774915E-1	
215.00	8.71219933E-1	
216.00	8.61555338E-1	
217.00	8.51824701E-1	
218.00	8.42115641E-1	
219.00	8.32553685E-1	
220.00	8.23260188E-1	
221.00	8.14289331E-1	
222.00	8.05597842E-1	
223.00	7.97072172E-1	
224.00	7.88589835E-1	
225.00	7.80065358E-1	
226.00	7.71463394E-1	
227.00	7.62791038E-1	
228.00	7.54090011E-1	
229.00	7.45425642E-1	
230.00	7.36860871E-1	
231.00	7.28424370E-1	
232.00	7.20093071E-1	
233.00	7.11807787E-1	
234.00	7.03504384E-1	
235.00	6.95139229E-1	
236.00	6.86697900E-1	
237.00	6.78195596E-1	
238.00	6.69678092E-1	
239.00	6.61213517E-1	
240.00	6.52867794E-1	
241.00	6.44670308E-1	
242.00	6.36597276E-1	
243.00	6.28586471E-1	
244.00	6.20571375E-1	
245.00	6.12507701E-1	
246.00	6.04385257E-1	
247.00	5.96234381E-1	
248.00	5.88131607E-1	
249.00	5.80189228E-1	
250.00	5.72514951E-1	
251.00	5.65156877E-1	
252.00	5.58075845E-1	
253.00	5.51170886E-1	
254.00	5.44333160E-1	
255.00	5.37488937E-1	
256.00	5.30612886E-1	
257.00	5.23728728E-1	
258.00	5.16911685E-1	
259.00	5.10278225E-1	
260.00	5.03943801E-1	
261.00	4.97961909E-1	
262.00	4.92292047E-1	
263.00	4.86824840E-1	
264.00	4.81442243E-1	
265.00	4.76064861E-1	
266.00	4.70665455E-1	
267.00	4.65264499E-1	
268.00	4.59924966E-1	
269.00	4.54740703E-1	
270.00	4.49803352E-1	
271.00	4.45155472E-1	
272.00	4.40764636E-1	
273.00	4.36542720E-1	
274.00	4.32393461E-1	
275.00	4.28251594E-1	
276.00	4.24094677E-1	
277.00	4.19937879E-1	
278.00	4.15828377E-1	
279.00	4.11834747E-1	
280.00	4.08022046E-1	
281.00	4.04419273E-1	
282.00	4.01002377E-1	
283.00	3.97709608E-1	
284.00	3.94473433E-1	
285.00	3.91245157E-1	
286.00	3.88001233E-1	
287.00	3.84742379E-1	
288.00	3.81491065E-1	
289.00	3.78284454E-1	
