Labels,D data_N11P_Feb2020,
200.00,4.36850309E-1,
201.00,4.53762293E-1,
202.00,4.70731497E-1,
203.00,4.87805307E-1,
204.00,5.05047023E-1,
205.00,5.22485018E-1,
206.00,5.40088177E-1,
207.00,5.57805598E-1,
208.00,5.75513721E-1,
209.00,5.93036175E-1,
210.00,6.10146523E-1,
211.00,6.26606405E-1,
212.00,6.42176211E-1,
213.00,6.56656981E-1,
214.00,6.69957578E-1,
215.00,6.82092309E-1,
216.00,6.93152428E-1,
217.00,7.03298271E-1,
218.00,7.12710023E-1,
219.00,7.21600294E-1,
220.00,7.30213106E-1,
221.00,7.38817871E-1,
222.00,7.47683585E-1,
223.00,7.57063329E-1,
224.00,7.67211795E-1,
225.00,7.78345704E-1,
226.00,7.90604591E-1,
227.00,8.04028690E-1,
228.00,8.18552017E-1,
229.00,8.34015727E-1,
230.00,8.50191176E-1,
231.00,8.66788685E-1,
232.00,8.83469284E-1,
233.00,8.99871886E-1,
234.00,9.15645480E-1,
235.00,9.30485785E-1,
236.00,9.44137275E-1,
237.00,9.56409574E-1,
238.00,9.67156172E-1,
239.00,9.76285696E-1,
240.00,9.83769000E-1,
241.00,9.89629388E-1,
242.00,9.93927777E-1,
243.00,9.96752083E-1,
244.00,9.98197615E-1,
245.00,9.98372674E-1,
246.00,9.97401476E-1,
247.00,9.95415986E-1,
248.00,9.92548108E-1,
249.00,9.88920689E-1,
250.00,9.84648108E-1,
251.00,9.79835689E-1,
252.00,9.74569798E-1,
253.00,9.68919575E-1,
254.00,9.62947011E-1,
255.00,9.56723273E-1,
256.00,9.50323224E-1,
257.00,9.43827093E-1,
258.00,9.37307596E-1,
259.00,9.30828393E-1,
260.00,9.24426377E-1,
261.00,9.18105423E-1,
262.00,9.11836505E-1,
263.00,9.05577719E-1,
264.00,8.99294019E-1,
265.00,8.92975509E-1,
266.00,8.86651397E-1,
267.00,8.80389214E-1,
268.00,8.74276996E-1,
269.00,8.68421674E-1,
270.00,8.62934113E-1,
271.00,8.57914805E-1,
272.00,8.53456795E-1,
273.00,8.49640310E-1,
274.00,8.46517682E-1,
275.00,8.44109714E-1,
276.00,8.42411697E-1,
