Labels,T data_N11P_Feb2020_up to 3000,
300.00,1.68605802E-5,
301.00,2.02034043E-5,
302.00,2.35706011E-5,
303.00,2.69980974E-5,
304.00,3.05318245E-5,
305.00,3.42200183E-5,
306.00,3.81097816E-5,
307.00,4.22490521E-5,
308.00,4.66862512E-5,
309.00,5.14700696E-5,
310.00,5.66468261E-5,
311.00,6.22567823E-5,
312.00,6.83295148E-5,
313.00,7.48960665E-5,
314.00,8.19847555E-5,
315.00,8.96309211E-5,
316.00,9.78763419E-5,
317.00,1.06763400E-4,
318.00,1.16332070E-4,
319.00,1.26622370E-4,
320.00,1.37668118E-4,
321.00,1.49502855E-4,
322.00,1.62162920E-4,
323.00,1.75683366E-4,
324.00,1.90087594E-4,
325.00,2.05388671E-4,
326.00,2.21603725E-4,
327.00,2.38759734E-4,
328.00,2.56885891E-4,
329.00,2.76002509E-4,
330.00,2.96130369E-4,
331.00,3.17310041E-4,
332.00,3.39600520E-4,
333.00,3.63052153E-4,
334.00,3.87710985E-4,
335.00,4.13598347E-4,
336.00,4.40720178E-4,
337.00,4.69103135E-4,
338.00,4.98819456E-4,
339.00,5.29969751E-4,
340.00,5.62634319E-4,
341.00,5.96868456E-4,
342.00,6.32675132E-4,
343.00,6.70040201E-4,
344.00,7.08933920E-4,
345.00,7.49326253E-4,
346.00,7.91234663E-4,
347.00,8.34705599E-4,
348.00,8.79802683E-4,
349.00,9.26597975E-4,
350.00,9.75187344E-4,
351.00,1.02566578E-3,
352.00,1.07807829E-3,
353.00,1.13243470E-3,
354.00,1.18873385E-3,
355.00,1.24696817E-3,
356.00,1.30712485E-3,
357.00,1.36918714E-3,
358.00,1.43314537E-3,
359.00,1.49900292E-3,
360.00,1.56680227E-3,
361.00,1.63661817E-3,
362.00,1.70850288E-3,
363.00,1.78246689E-3,
364.00,1.85852125E-3,
365.00,1.93671626E-3,
366.00,2.01710337E-3,
367.00,2.09974707E-3,
368.00,2.18468648E-3,
369.00,2.27190577E-3,
370.00,2.36139633E-3,
371.00,2.45316792E-3,
372.00,2.54723709E-3,
373.00,2.64356588E-3,
374.00,2.74212076E-3,
375.00,2.84290453E-3,
376.00,2.94593559E-3,
377.00,3.05121369E-3,
378.00,3.15877097E-3,
379.00,3.26866191E-3,
380.00,3.38089210E-3,
381.00,3.49543011E-3,
382.00,3.61228106E-3,
383.00,3.73151293E-3,
384.00,3.85324983E-3,
385.00,3.97761771E-3,
386.00,4.10467433E-3,
387.00,4.23448300E-3,
388.00,4.36710892E-3,
389.00,4.50253207E-3,
390.00,4.64073801E-3,
391.00,4.78179567E-3,
392.00,4.92578698E-3,
393.00,5.07283770E-3,
394.00,5.22305537E-3,
395.00,5.37655316E-3,
396.00,5.53333666E-3,
397.00,5.69344964E-3,
398.00,5.85698523E-3,
399.00,6.02405565E-3,
400.00,6.19486393E-3,
401.00,6.36964059E-3,
402.00,6.54858118E-3,
403.00,6.73195021E-3,
404.00,6.92003174E-3,
405.00,7.11300736E-3,
406.00,7.31087383E-3,
407.00,7.51356082E-3,
408.00,7.72097148E-3,
409.00,7.93295540E-3,
410.00,8.14942829E-3,
411.00,8.37032963E-3,
412.00,8.59550294E-3,
413.00,8.82468373E-3,
414.00,9.05771833E-3,
415.00,9.29469150E-3,
416.00,9.53578111E-3,
417.00,9.78106353E-3,
418.00,1.00306170E-2,
419.00,1.02845440E-2,
420.00,1.05428835E-2,
421.00,1.08056618E-2,
422.00,1.10729337E-2,
423.00,1.13448193E-2,
424.00,1.16214473E-2,
425.00,1.19029954E-2,
426.00,1.21896658E-2,
427.00,1.24814045E-2,
428.00,1.27779106E-2,
429.00,1.30790295E-2,
430.00,1.33848004E-2,
431.00,1.36952680E-2,
432.00,1.40104424E-2,
433.00,1.43303536E-2,
434.00,1.46552911E-2,
435.00,1.49853500E-2,
436.00,1.53204007E-2,
437.00,1.56602245E-2,
438.00,1.60046257E-2,
439.00,1.63534842E-2,
440.00,1.67065747E-2,
441.00,1.70636401E-2,
442.00,1.74245704E-2,
443.00,1.77892502E-2,
444.00,1.81574132E-2,
445.00,1.85287558E-2,
446.00,1.89030394E-2,
447.00,1.92801859E-2,
448.00,1.96601786E-2,
449.00,2.00430341E-2,
450.00,2.04290152E-2,
451.00,2.08184831E-2,
452.00,2.12118700E-2,
453.00,2.16096193E-2,
454.00,2.20121872E-2,
455.00,2.24201586E-2,
456.00,2.28341203E-2,
457.00,2.32544765E-2,
458.00,2.36816015E-2,
459.00,2.41156891E-2,
460.00,2.45569572E-2,
461.00,2.50055417E-2,
462.00,2.54617706E-2,
463.00,2.59260107E-2,
464.00,2.63984408E-2,
465.00,2.68787183E-2,
466.00,2.73663010E-2,
467.00,2.78610103E-2,
468.00,2.83629689E-2,
469.00,2.88719479E-2,
470.00,2.93878652E-2,
471.00,2.99106427E-2,
472.00,3.04400958E-2,
473.00,3.09759360E-2,
474.00,3.15180570E-2,
475.00,3.20661739E-2,
476.00,3.26201208E-2,
477.00,3.31801437E-2,
478.00,3.37467082E-2,
479.00,3.43199223E-2,
480.00,3.48996334E-2,
481.00,3.54855694E-2,
482.00,3.60775255E-2,
483.00,3.66752595E-2,
484.00,3.72786224E-2,
485.00,3.78876105E-2,
486.00,3.85023803E-2,
487.00,3.91232185E-2,
488.00,3.97502109E-2,
489.00,4.03830595E-2,
490.00,4.10213545E-2,
491.00,4.16653529E-2,
492.00,4.23155501E-2,
493.00,4.29721624E-2,
494.00,4.36353236E-2,
495.00,4.43053357E-2,
496.00,4.49825563E-2,
497.00,4.56671342E-2,
498.00,4.63593602E-2,
499.00,4.70592901E-2,
500.00,4.77671027E-2,
501.00,4.84826937E-2,
502.00,4.92060967E-2,
503.00,4.99373488E-2,
504.00,5.06763086E-2,
505.00,5.14224172E-2,
506.00,5.21750189E-2,
507.00,5.29338978E-2,
508.00,5.36993779E-2,
509.00,5.44719808E-2,
510.00,5.52520193E-2,
511.00,5.60397319E-2,
512.00,5.68346195E-2,
513.00,5.76361082E-2,
514.00,5.84438480E-2,
515.00,5.92576116E-2,
516.00,6.00773394E-2,
517.00,6.09028228E-2,
518.00,6.17339052E-2,
519.00,6.25704303E-2,
520.00,6.34121224E-2,
521.00,6.42586648E-2,
522.00,6.51100650E-2,
523.00,6.59669042E-2,
524.00,6.68305457E-2,
525.00,6.77029267E-2,
526.00,6.85858354E-2,
527.00,6.94806501E-2,
528.00,7.03879073E-2,
529.00,7.13070631E-2,
530.00,7.22374693E-2,
531.00,7.31783584E-2,
532.00,7.41287470E-2,
533.00,7.50874579E-2,
534.00,7.60535598E-2,
535.00,7.70263597E-2,
536.00,7.80053660E-2,
537.00,7.89900795E-2,
538.00,7.99802244E-2,
539.00,8.09750780E-2,
540.00,8.19741115E-2,
541.00,8.29770118E-2,
542.00,8.39836895E-2,
543.00,8.49946812E-2,
544.00,8.60098004E-2,
545.00,8.70284960E-2,
546.00,8.80494490E-2,
547.00,8.90710875E-2,
548.00,9.00930911E-2,
549.00,9.11159366E-2,
550.00,9.21404362E-2,
551.00,9.31675360E-2,
552.00,9.41981673E-2,
553.00,9.52327102E-2,
554.00,9.62718502E-2,
555.00,9.73160639E-2,
556.00,9.83664244E-2,
557.00,9.94245186E-2,
558.00,1.00491233E-1,
559.00,1.01567566E-1,
560.00,1.02654174E-1,
561.00,1.03750877E-1,
562.00,1.04857378E-1,
563.00,1.05973035E-1,
564.00,1.07096784E-1,
565.00,1.08227499E-1,
566.00,1.09365679E-1,
567.00,1.10512994E-1,
568.00,1.11669943E-1,
569.00,1.12836212E-1,
570.00,1.14011057E-1,
571.00,1.15194157E-1,
572.00,1.16385587E-1,
573.00,1.17584944E-1,
574.00,1.18790671E-1,
575.00,1.20000966E-1,
576.00,1.21214427E-1,
577.00,1.22430250E-1,
578.00,1.23649634E-1,
579.00,1.24873839E-1,
580.00,1.26102746E-1,
581.00,1.27334908E-1,
582.00,1.28569081E-1,
583.00,1.29804581E-1,
584.00,1.31041110E-1,
585.00,1.32278353E-1,
586.00,1.33517742E-1,
587.00,1.34762317E-1,
588.00,1.36014357E-1,
589.00,1.37274832E-1,
590.00,1.38544053E-1,
591.00,1.39821947E-1,
592.00,1.41108930E-1,
593.00,1.42406851E-1,
594.00,1.43715695E-1,
595.00,1.45034045E-1,
596.00,1.46360174E-1,
597.00,1.47692218E-1,
598.00,1.49028078E-1,
599.00,1.50366738E-1,
600.00,1.51708409E-1,
601.00,1.53047994E-1,
602.00,1.54392481E-1,
603.00,1.55741885E-1,
604.00,1.57096118E-1,
