Labels,D2_Nov2019,
200.00,2.95170259E+0,
201.00,2.94068766E+0,
202.00,2.92920637E+0,
203.00,2.91694355E+0,
204.00,2.90398693E+0,
205.00,2.88996339E+0,
206.00,2.87432647E+0,
207.00,2.85681272E+0,
208.00,2.83734345E+0,
209.00,2.81601882E+0,
210.00,2.79313421E+0,
211.00,2.76970792E+0,
212.00,2.74616671E+0,
213.00,2.72174335E+0,
214.00,2.69611716E+0,
215.00,2.66925716E+0,
216.00,2.64109588E+0,
217.00,2.61219811E+0,
218.00,2.58308458E+0,
219.00,2.55390525E+0,
220.00,2.52474380E+0,
221.00,2.49590635E+0,
222.00,2.46750617E+0,
223.00,2.43976903E+0,
224.00,2.41263008E+0,
225.00,2.38582850E+0,
226.00,2.35897756E+0,
227.00,2.33201408E+0,
228.00,2.30505300E+0,
229.00,2.27835894E+0,
230.00,2.25216651E+0,
231.00,2.22660041E+0,
232.00,2.20143247E+0,
233.00,2.17630053E+0,
234.00,2.15103221E+0,
235.00,2.12553024E+0,
236.00,2.09983063E+0,
237.00,2.07401299E+0,
238.00,2.04812002E+0,
239.00,2.02220154E+0,
240.00,1.99629116E+0,
241.00,1.97037172E+0,
242.00,1.94435954E+0,
243.00,1.91821539E+0,
244.00,1.89184296E+0,
245.00,1.86514902E+0,
246.00,1.83812523E+0,
247.00,1.81086862E+0,
248.00,1.78359854E+0,
249.00,1.75658524E+0,
250.00,1.73000145E+0,
251.00,1.70389462E+0,
252.00,1.67821443E+0,
253.00,1.65280509E+0,
254.00,1.62742090E+0,
255.00,1.60210049E+0,
256.00,1.57694256E+0,
257.00,1.55209446E+0,
258.00,1.52782750E+0,
259.00,1.50443029E+0,
260.00,1.48206174E+0,
261.00,1.46073437E+0,
262.00,1.44029403E+0,
263.00,1.42053783E+0,
264.00,1.40123451E+0,
265.00,1.38223016E+0,
266.00,1.36346364E+0,
267.00,1.34498477E+0,
268.00,1.32691085E+0,
269.00,1.30939043E+0,
270.00,1.29251361E+0,
271.00,1.27639127E+0,
272.00,1.26109779E+0,
273.00,1.24659431E+0,
274.00,1.23271954E+0,
275.00,1.21926951E+0,
276.00,1.20608354E+0,
277.00,1.19313228E+0,
278.00,1.18047786E+0,
279.00,1.16817522E+0,
280.00,1.15625262E+0,
281.00,1.14449334E+0,
282.00,1.13303101E+0,
283.00,1.12183928E+0,
284.00,1.11089349E+0,
285.00,1.10016942E+0,
286.00,1.08964515E+0,
287.00,1.07929969E+0,
288.00,1.06911242E+0,
289.00,1.05906379E+0,
290.00,1.04913509E+0,
291.00,1.03930783E+0,
292.00,1.02956462E+0,
293.00,1.01988876E+0,
294.00,1.01026583E+0,
295.00,1.00068498E+0,
296.00,9.91137862E-1,
297.00,9.81619835E-1,
298.00,9.72127736E-1,
299.00,9.62659597E-1,
300.00,9.53213513E-1,
301.00,9.43787158E-1,
302.00,9.34378445E-1,
303.00,9.24984455E-1,
304.00,9.15602624E-1,
305.00,9.06230569E-1,
306.00,8.96866798E-1,
307.00,8.87510657E-1,
308.00,8.78163099E-1,
309.00,8.68826926E-1,
310.00,8.59506547E-1,
311.00,8.50208104E-1,
312.00,8.40939462E-1,
313.00,8.31709683E-1,
314.00,8.22528601E-1,
315.00,8.13405812E-1,
316.00,8.04350555E-1,
317.00,7.95371115E-1,
318.00,7.86475062E-1,
319.00,7.77667999E-1,
320.00,7.68953145E-1,
321.00,7.60331452E-1,
322.00,7.51801908E-1,
323.00,7.43362010E-1,
324.00,7.35008359E-1,
325.00,7.26737857E-1,
326.00,7.18547285E-1,
327.00,7.10434377E-1,
328.00,7.02397883E-1,
329.00,6.94437742E-1,
330.00,6.86554551E-1,
331.00,6.78750336E-1,
332.00,6.71027839E-1,
333.00,6.63390994E-1,
334.00,6.55844152E-1,
335.00,6.48392737E-1,
336.00,6.41042411E-1,
337.00,6.33799314E-1,
338.00,6.26668870E-1,
339.00,6.19656444E-1,
340.00,6.12766325E-1,
341.00,6.06001616E-1,
342.00,5.99363625E-1,
343.00,5.92852592E-1,
344.00,5.86467266E-1,
345.00,5.80204844E-1,
346.00,5.74061930E-1,
347.00,5.68035066E-1,
348.00,5.62121511E-1,
349.00,5.56319296E-1,
350.00,5.50626636E-1,
351.00,5.45041859E-1,
352.00,5.39563179E-1,
353.00,5.34188449E-1,
354.00,5.28916121E-1,
355.00,5.23745060E-1,
356.00,5.18674791E-1,
357.00,5.13705850E-1,
358.00,5.08839548E-1,
359.00,5.04078090E-1,
360.00,4.99424130E-1,
361.00,4.94880795E-1,
362.00,4.90452111E-1,
363.00,4.86143231E-1,
364.00,4.81959909E-1,
365.00,4.77908611E-1,
366.00,4.73996460E-1,
367.00,4.70230848E-1,
368.00,4.66617495E-1,
369.00,4.63156998E-1,
370.00,4.59843665E-1,
371.00,4.56664741E-1,
372.00,4.53603327E-1,
373.00,4.50639039E-1,
374.00,4.47748125E-1,
375.00,4.44906116E-1,
376.00,4.42090899E-1,
377.00,4.39285845E-1,
378.00,4.36480314E-1,
379.00,4.33670044E-1,
380.00,4.30856436E-1,
381.00,4.28051859E-1,
382.00,4.25277472E-1,
383.00,4.22563314E-1,
384.00,4.19943660E-1,
385.00,4.17452693E-1,
386.00,4.15126473E-1,
387.00,4.12994862E-1,
388.00,4.11076933E-1,
389.00,4.09375995E-1,
390.00,4.07877088E-1,
391.00,4.06553477E-1,
392.00,4.05377239E-1,
393.00,4.04325008E-1,
394.00,4.03380454E-1,
395.00,4.02533650E-1,
396.00,4.01769221E-1,
397.00,4.01062101E-1,
398.00,4.00387168E-1,
399.00,3.99724662E-1,
400.00,3.99064630E-1,
