Labels,T2 data_interpolated up to 2500,
300.00,3.22372071E-4,
301.00,3.38940852E-4,
302.00,3.56181496E-4,
303.00,3.74129799E-4,
304.00,3.92816262E-4,
305.00,4.12268331E-4,
306.00,4.32508590E-4,
307.00,4.53554880E-4,
308.00,4.75423672E-4,
309.00,4.98137670E-4,
310.00,5.21716196E-4,
311.00,5.46183379E-4,
312.00,5.71565179E-4,
313.00,5.97885926E-4,
314.00,6.25170826E-4,
315.00,6.53437863E-4,
316.00,6.82701590E-4,
317.00,7.12984183E-4,
318.00,7.44313351E-4,
319.00,7.76718312E-4,
320.00,8.10233236E-4,
321.00,8.44900205E-4,
322.00,8.80762993E-4,
323.00,9.17865487E-4,
324.00,9.56244476E-4,
325.00,9.95932380E-4,
326.00,1.03695714E-3,
327.00,1.07934489E-3,
328.00,1.12311728E-3,
329.00,1.16829993E-3,
330.00,1.21492508E-3,
331.00,1.26303243E-3,
332.00,1.31267356E-3,
333.00,1.36390631E-3,
334.00,1.41679717E-3,
335.00,1.47141039E-3,
336.00,1.52779708E-3,
337.00,1.58600544E-3,
338.00,1.64608064E-3,
339.00,1.70807075E-3,
340.00,1.77202502E-3,
341.00,1.83798466E-3,
342.00,1.90599239E-3,
343.00,1.97610166E-3,
344.00,2.04836484E-3,
345.00,2.12284387E-3,
346.00,2.19960255E-3,
347.00,2.27869558E-3,
348.00,2.36017280E-3,
349.00,2.44408916E-3,
350.00,2.53051450E-3,
351.00,2.61953031E-3,
352.00,2.71122367E-3,
353.00,2.80567841E-3,
354.00,2.90296879E-3,
355.00,3.00315162E-3,
356.00,3.10627045E-3,
357.00,3.21236812E-3,
358.00,3.32148653E-3,
359.00,3.43365525E-3,
360.00,3.54889827E-3,
361.00,3.66724073E-3,
362.00,3.78870638E-3,
363.00,3.91331455E-3,
364.00,4.04106872E-3,
365.00,4.17195074E-3,
366.00,4.30591777E-3,
367.00,4.44292044E-3,
368.00,4.58290055E-3,
369.00,4.72580222E-3,
370.00,4.87156305E-3,
371.00,5.02012577E-3,
372.00,5.17143542E-3,
373.00,5.32543426E-3,
374.00,5.48205152E-3,
375.00,5.64121548E-3,
376.00,5.80286607E-3,
377.00,5.96696418E-3,
378.00,6.13348000E-3,
379.00,6.30237861E-3,
380.00,6.47364743E-3,
381.00,6.64729252E-3,
382.00,6.82333810E-3,
383.00,7.00182933E-3,
384.00,7.18282023E-3,
385.00,7.36639695E-3,
386.00,7.55265215E-3,
387.00,7.74168735E-3,
388.00,7.93360360E-3,
389.00,8.12851544E-3,
390.00,8.32654908E-3,
391.00,8.52783211E-3,
392.00,8.73250049E-3,
393.00,8.94068368E-3,
394.00,9.15249623E-3,
395.00,9.36806016E-3,
396.00,9.58748069E-3,
397.00,9.81085934E-3,
398.00,1.00383032E-2,
399.00,1.02699259E-2,
400.00,1.05058411E-2,
401.00,1.07461736E-2,
402.00,1.09910378E-2,
403.00,1.12405354E-2,
404.00,1.14947753E-2,
405.00,1.17538506E-2,
