Labels,D4 data_June2017,
200.00,1.00000000E+0,
201.00,9.99794602E-1,
202.00,9.99618828E-1,
203.00,9.99484360E-1,
204.00,9.99391735E-1,
205.00,9.99343395E-1,
206.00,9.99338686E-1,
207.00,9.99364078E-1,
208.00,9.99395967E-1,
209.00,9.99396563E-1,
210.00,9.99318123E-1,
211.00,9.99113858E-1,
212.00,9.98723269E-1,
213.00,9.98079658E-1,
214.00,9.97122765E-1,
215.00,9.95810688E-1,
216.00,9.94113564E-1,
217.00,9.92015123E-1,
218.00,9.89509344E-1,
219.00,9.86602724E-1,
220.00,9.83316064E-1,
221.00,9.79682624E-1,
222.00,9.75741148E-1,
223.00,9.71529424E-1,
224.00,9.67093229E-1,
225.00,9.62480009E-1,
226.00,9.57718790E-1,
227.00,9.52812314E-1,
228.00,9.47743714E-1,
229.00,9.42484021E-1,
230.00,9.37009811E-1,
231.00,9.31306183E-1,
232.00,9.25361335E-1,
233.00,9.19186652E-1,
234.00,9.12793696E-1,
235.00,9.06178951E-1,
236.00,8.99337411E-1,
237.00,8.92273188E-1,
238.00,8.84997308E-1,
239.00,8.77515614E-1,
240.00,8.69829416E-1,
241.00,8.61938298E-1,
242.00,8.53836834E-1,
243.00,8.45510364E-1,
244.00,8.36939216E-1,
245.00,8.28115344E-1,
246.00,8.19044530E-1,
247.00,8.09733748E-1,
248.00,8.00190091E-1,
249.00,7.90426075E-1,
250.00,7.80462205E-1,
251.00,7.70331323E-1,
252.00,7.60075629E-1,
253.00,7.49740839E-1,
254.00,7.39368737E-1,
255.00,7.28995621E-1,
256.00,7.18655646E-1,
257.00,7.08386600E-1,
258.00,6.98225200E-1,
259.00,6.88206494E-1,
260.00,6.78364515E-1,
261.00,6.68727040E-1,
262.00,6.59316361E-1,
263.00,6.50148571E-1,
264.00,6.41237199E-1,
265.00,6.32596970E-1,
266.00,6.24238610E-1,
267.00,6.16172016E-1,
268.00,6.08403981E-1,
269.00,6.00936592E-1,
270.00,5.93768775E-1,
271.00,5.86897016E-1,
272.00,5.80315471E-1,
273.00,5.74016273E-1,
274.00,5.67989707E-1,
275.00,5.62224448E-1,
276.00,5.56707919E-1,
277.00,5.51427186E-1,
278.00,5.46367884E-1,
279.00,5.41515708E-1,
280.00,5.36856234E-1,
281.00,5.32375097E-1,
282.00,5.28056562E-1,
283.00,5.23885012E-1,
284.00,5.19845605E-1,
285.00,5.15924275E-1,
286.00,5.12108326E-1,
287.00,5.08384764E-1,
288.00,5.04741132E-1,
289.00,5.01165926E-1,
290.00,4.97648358E-1,
291.00,4.94177371E-1,
