Labels	T4_data_Sept2014_v2	
250.00	5.71811142E-6	
251.00	6.57071087E-6	
252.00	7.42378779E-6	
253.00	8.27799522E-6	
254.00	9.13452732E-6	
255.00	9.99700842E-6	
256.00	1.08699924E-5	
257.00	1.17576556E-5	
258.00	1.26644854E-5	
259.00	1.35953251E-5	
260.00	1.45550148E-5	
261.00	1.55477555E-5	
262.00	1.65778220E-5	
263.00	1.76500580E-5	
264.00	1.87708411E-5	
265.00	1.99460410E-5	
266.00	2.11798997E-5	
267.00	2.24780779E-5	
268.00	2.38471930E-5	
269.00	2.52953341E-5	
270.00	2.68314234E-5	
271.00	2.84646085E-5	
272.00	3.02024037E-5	
273.00	3.20504769E-5	
274.00	3.40129263E-5	
275.00	3.60935410E-5	
276.00	3.82983562E-5	
277.00	4.06344807E-5	
278.00	4.31094450E-5	
279.00	4.57324204E-5	
280.00	4.85115088E-5	
281.00	5.14539497E-5	
282.00	5.45650037E-5	
283.00	5.78489453E-5	
284.00	6.13113370E-5	
285.00	6.49576614E-5	
286.00	6.87920765E-5	
287.00	7.28183295E-5	
288.00	7.70399784E-5	
289.00	8.14601735E-5	
290.00	8.60852524E-5	
291.00	9.09240844E-5	
292.00	9.59849713E-5	
293.00	1.01275771E-4	
294.00	1.06804320E-4	
295.00	1.12580594E-4	
296.00	1.18616757E-4	
297.00	1.24925820E-4	
298.00	1.31521156E-4	
299.00	1.38415009E-4	
300.00	1.45618571E-4	
301.00	1.53144036E-4	
302.00	1.61002783E-4	
303.00	1.69207298E-4	
304.00	1.77767986E-4	
305.00	1.86693127E-4	
306.00	1.95988803E-4	
307.00	2.05660675E-4	
308.00	2.15715700E-4	
309.00	2.26160322E-4	
310.00	2.37005093E-4	
311.00	2.48263881E-4	
312.00	2.59951892E-4	
313.00	2.72086327E-4	
314.00	2.84685317E-4	
315.00	2.97768187E-4	
316.00	3.11355456E-4	
317.00	3.25468893E-4	
318.00	3.40129569E-4	
319.00	3.55360185E-4	
320.00	3.71181959E-4	
321.00	3.87074513E-4	
322.00	4.03109327E-4	
323.00	4.19516437E-4	
324.00	4.36542789E-4	
325.00	4.54287365E-4	
326.00	4.72779007E-4	
327.00	4.91994491E-4	
328.00	5.12030092E-4	
329.00	5.32855105E-4	
330.00	5.54367667E-4	
331.00	5.76535240E-4	
332.00	5.99309511E-4	
333.00	6.22679305E-4	
334.00	6.46750210E-4	
335.00	6.71674614E-4	
336.00	6.97620446E-4	
337.00	7.24668324E-4	
338.00	7.52865104E-4	
339.00	7.82259332E-4	
340.00	8.12844781E-4	
341.00	8.44643975E-4	
342.00	8.77567567E-4	
343.00	9.11489245E-4	
344.00	9.46328102E-4	
345.00	9.82073951E-4	
346.00	1.01896108E-3	
347.00	1.05732656E-3	
348.00	1.09743490E-3	
349.00	1.13945641E-3	
