Labels,D6 data_feb2012,
200.00,1.00000000E+0,
201.00,9.93227363E-1,
202.00,9.86432135E-1,
203.00,9.79575694E-1,
204.00,9.72613931E-1,
205.00,9.65517402E-1,
206.00,9.58269477E-1,
207.00,9.50853229E-1,
208.00,9.43239629E-1,
209.00,9.35404718E-1,
210.00,9.27336872E-1,
211.00,9.19033408E-1,
212.00,9.10489678E-1,
213.00,9.01710153E-1,
214.00,8.92702997E-1,
215.00,8.83481264E-1,
216.00,8.74063313E-1,
217.00,8.64467621E-1,
218.00,8.54708493E-1,
219.00,8.44798982E-1,
220.00,8.34750116E-1,
221.00,8.24574530E-1,
222.00,8.14286530E-1,
223.00,8.03903997E-1,
224.00,7.93445945E-1,
225.00,7.82930255E-1,
226.00,7.72373796E-1,
227.00,7.61793256E-1,
228.00,7.51203477E-1,
229.00,7.40618348E-1,
230.00,7.30052829E-1,
231.00,7.19523132E-1,
232.00,7.09045231E-1,
233.00,6.98633313E-1,
234.00,6.88297749E-1,
235.00,6.78045630E-1,
236.00,6.67884290E-1,
237.00,6.57820106E-1,
238.00,6.47859335E-1,
239.00,6.38007283E-1,
240.00,6.28267705E-1,
241.00,6.18643522E-1,
242.00,6.09137118E-1,
243.00,5.99750936E-1,
244.00,5.90487778E-1,
245.00,5.81351280E-1,
246.00,5.72345793E-1,
247.00,5.63477099E-1,
248.00,5.54751098E-1,
249.00,5.46173334E-1,
250.00,5.37749410E-1,
251.00,5.29484093E-1,
252.00,5.21381497E-1,
253.00,5.13445556E-1,
254.00,5.05680025E-1,
255.00,4.98088181E-1,
256.00,4.90673691E-1,
257.00,4.83440518E-1,
258.00,4.76392210E-1,
259.00,4.69532192E-1,
260.00,4.62863386E-1,
261.00,4.56387430E-1,
262.00,4.50104058E-1,
263.00,4.44011688E-1,
264.00,4.38107520E-1,
265.00,4.32388186E-1,
266.00,4.26849872E-1,
267.00,4.21488762E-1,
268.00,4.16301012E-1,
269.00,4.11281824E-1,
270.00,4.06425536E-1,
271.00,4.01725471E-1,
272.00,3.97174180E-1,
273.00,3.92763764E-1,
274.00,3.88486445E-1,
275.00,3.84334415E-1,
276.00,3.80300164E-1,
277.00,3.76376718E-1,
278.00,3.72557044E-1,
279.00,3.68834227E-1,
280.00,3.65201235E-1,
281.00,3.61651242E-1,
282.00,3.58177662E-1,
283.00,3.54774058E-1,
284.00,3.51434559E-1,
285.00,3.48153859E-1,
286.00,3.44927102E-1,
287.00,3.41750324E-1,
288.00,3.38619351E-1,
289.00,3.35530519E-1,
290.00,3.32480490E-1,
291.00,3.29466313E-1,
292.00,3.26485366E-1,
293.00,3.23534876E-1,
294.00,3.20612311E-1,
295.00,3.17715228E-1,
296.00,3.14841181E-1,
297.00,3.11987907E-1,
298.00,3.09153557E-1,
299.00,3.06336105E-1,
300.00,3.03533316E-1,
301.00,3.00742626E-1,
302.00,2.97961384E-1,
303.00,2.95187145E-1,
304.00,2.92417258E-1,
305.00,2.89649040E-1,
306.00,2.86879778E-1,
307.00,2.84107476E-1,
308.00,2.81330794E-1,
309.00,2.78549463E-1,
310.00,2.75763929E-1,
311.00,2.72975177E-1,
312.00,2.70184755E-1,
313.00,2.67394781E-1,
314.00,2.64607847E-1,
315.00,2.61826843E-1,
316.00,2.59054482E-1,
317.00,2.56293327E-1,
318.00,2.53545523E-1,
319.00,2.50813067E-1,
320.00,2.48097599E-1,
321.00,2.45400801E-1,
322.00,2.42724001E-1,
323.00,2.40068346E-1,
324.00,2.37434447E-1,
325.00,2.34822884E-1,
326.00,2.32234195E-1,
327.00,2.29669079E-1,
328.00,2.27128416E-1,
329.00,2.24613294E-1,
330.00,2.22125053E-1,
331.00,2.19665319E-1,
332.00,2.17235729E-1,
333.00,2.14838013E-1,
334.00,2.12473780E-1,
335.00,2.10144818E-1,
336.00,2.07853079E-1,
337.00,2.05600411E-1,
338.00,2.03388363E-1,
339.00,2.01218069E-1,
340.00,1.99090362E-1,
341.00,1.97005659E-1,
342.00,1.94964081E-1,
343.00,1.92965314E-1,
344.00,1.91008374E-1,
345.00,1.89091697E-1,
346.00,1.87213495E-1,
347.00,1.85372099E-1,
348.00,1.83566168E-1,
349.00,1.81794792E-1,
350.00,1.80057168E-1,
351.00,1.78352505E-1,
352.00,1.76680118E-1,
353.00,1.75039485E-1,
354.00,1.73430160E-1,
355.00,1.71851978E-1,
356.00,1.70305192E-1,
357.00,1.68790326E-1,
358.00,1.67308047E-1,
359.00,1.65859148E-1,
360.00,1.64444596E-1,
361.00,1.63065553E-1,
362.00,1.61723137E-1,
363.00,1.60418347E-1,
364.00,1.59152329E-1,
365.00,1.57926232E-1,
366.00,1.56741172E-1,
367.00,1.55597672E-1,
368.00,1.54495016E-1,
369.00,1.53431311E-1,
370.00,1.52402461E-1,
371.00,1.51403457E-1,
372.00,1.50428236E-1,
373.00,1.49469465E-1,
374.00,1.48519322E-1,
375.00,1.47570372E-1,
376.00,1.46616399E-1,
377.00,1.45652696E-1,
378.00,1.44676104E-1,
379.00,1.43684879E-1,
380.00,1.42680004E-1,
381.00,1.41666293E-1,
382.00,1.40652239E-1,
383.00,1.39648587E-1,
384.00,1.38666362E-1,
385.00,1.37717530E-1,
386.00,1.36813894E-1,
387.00,1.35965213E-1,
388.00,1.35176867E-1,
389.00,1.34448260E-1,
390.00,1.33774728E-1,
391.00,1.33150697E-1,
392.00,1.32571250E-1,
393.00,1.32032514E-1,
394.00,1.31531820E-1,
395.00,1.31065547E-1,
396.00,1.30626366E-1,
397.00,1.30205959E-1,
398.00,1.29796743E-1,
399.00,1.29393041E-1,
400.00,1.28991708E-1,
