Labels,T6 data_Apr2019_Fluoracle2,
300.00,1.20045399E-4,
301.00,1.26203056E-4,
302.00,1.32531466E-4,
303.00,1.39106633E-4,
304.00,1.45974249E-4,
305.00,1.53095476E-4,
306.00,1.60437485E-4,
307.00,1.68051032E-4,
308.00,1.75960202E-4,
309.00,1.84208679E-4,
310.00,1.92828404E-4,
311.00,2.01859453E-4,
312.00,2.11317325E-4,
313.00,2.21199778E-4,
314.00,2.31488404E-4,
315.00,2.42137874E-4,
316.00,2.53118051E-4,
317.00,2.64551752E-4,
318.00,2.76577106E-4,
319.00,2.89194257E-4,
320.00,3.02401284E-4,
321.00,3.16123187E-4,
322.00,3.30262701E-4,
323.00,3.44771048E-4,
324.00,3.59709316E-4,
325.00,3.75176751E-4,
326.00,3.91268724E-4,
327.00,4.08105290E-4,
328.00,4.25810256E-4,
329.00,4.44437814E-4,
330.00,4.63880482E-4,
331.00,4.83940385E-4,
332.00,5.04445576E-4,
333.00,5.25386422E-4,
334.00,5.46876283E-4,
335.00,5.68992808E-4,
336.00,5.91762771E-4,
337.00,6.15236058E-4,
338.00,6.39477337E-4,
339.00,6.64634572E-4,
340.00,6.90824119E-4,
341.00,7.18087307E-4,
342.00,7.46304635E-4,
343.00,7.75376102E-4,
344.00,8.05443735E-4,
345.00,8.36753461E-4,
346.00,8.69519019E-4,
347.00,9.03782842E-4,
348.00,9.39358200E-4,
349.00,9.76062729E-4,
350.00,1.01380050E-3,
351.00,1.05252478E-3,
352.00,1.09224580E-3,
353.00,1.13307964E-3,
354.00,1.17512012E-3,
355.00,1.21855410E-3,
356.00,1.26356224E-3,
357.00,1.31011161E-3,
358.00,1.35810650E-3,
359.00,1.40748895E-3,
360.00,1.45840843E-3,
361.00,1.51098380E-3,
362.00,1.56514160E-3,
363.00,1.62086310E-3,
364.00,1.67807180E-3,
365.00,1.73663336E-3,
366.00,1.79650716E-3,
367.00,1.85764884E-3,
368.00,1.91994000E-3,
369.00,1.98336132E-3,
370.00,2.04801257E-3,
371.00,2.11401936E-3,
372.00,2.18146038E-3,
373.00,2.25030351E-3,
374.00,2.32061045E-3,
375.00,2.39258027E-3,
376.00,2.46635941E-3,
377.00,2.54178280E-3,
378.00,2.61852192E-3,
379.00,2.69636232E-3,
380.00,2.77522998E-3,
381.00,2.85520707E-3,
382.00,2.93653295E-3,
383.00,3.01919295E-3,
384.00,3.10304249E-3,
385.00,3.18794209E-3,
386.00,3.27393529E-3,
387.00,3.36116273E-3,
388.00,3.44981928E-3,
389.00,3.54013755E-3,
390.00,3.63217876E-3,
391.00,3.72616178E-3,
392.00,3.82222119E-3,
393.00,3.92042380E-3,
394.00,4.02077148E-3,
395.00,4.12325375E-3,
