Labels,D7-data_March2020,
Type,Emission Scan,
Comment,,
Start,200.00,
Stop,400.00,
Step,1.00,
Fixed/Offset,0.00,
Xaxis,Em Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,,

200.00,1.00000000E+0,
201.00,9.94028449E-1,
202.00,9.88117814E-1,
203.00,9.82295036E-1,
204.00,9.76530433E-1,
205.00,9.70759869E-1,
206.00,9.64892983E-1,
207.00,9.58836854E-1,
208.00,9.52527165E-1,
209.00,9.45919514E-1,
210.00,9.39008117E-1,
211.00,9.31800723E-1,
212.00,9.24301922E-1,
213.00,9.16503012E-1,
214.00,9.08414125E-1,
215.00,9.00058687E-1,
216.00,8.91442657E-1,
217.00,8.82551610E-1,
218.00,8.73366594E-1,
219.00,8.63876820E-1,
220.00,8.54101002E-1,
221.00,8.44056427E-1,
222.00,8.33786190E-1,
223.00,8.23390245E-1,
224.00,8.12982798E-1,
225.00,8.02659094E-1,
226.00,7.92489231E-1,
227.00,7.82501400E-1,
228.00,7.72705436E-1,
229.00,7.63087094E-1,
230.00,7.53575563E-1,
231.00,7.44087219E-1,
232.00,7.34616339E-1,
233.00,7.25222588E-1,
234.00,7.15958118E-1,
235.00,7.06897914E-1,
236.00,6.98051929E-1,
237.00,6.89408004E-1,
238.00,6.80949867E-1,
239.00,6.72633410E-1,
240.00,6.64409339E-1,
241.00,6.56220555E-1,
242.00,6.47971928E-1,
243.00,6.39593124E-1,
244.00,6.31040573E-1,
245.00,6.22304618E-1,
246.00,6.13444388E-1,
247.00,6.04515612E-1,
248.00,5.95548749E-1,
249.00,5.86577654E-1,
250.00,5.77645302E-1,
251.00,5.68806887E-1,
252.00,5.60103893E-1,
253.00,5.51568508E-1,
254.00,5.43210268E-1,
255.00,5.35028875E-1,
256.00,5.27033687E-1,
257.00,5.19228697E-1,
258.00,5.11614442E-1,
259.00,5.04201353E-1,
260.00,4.97007519E-1,
261.00,4.90042210E-1,
262.00,4.83293146E-1,
263.00,4.76752162E-1,
264.00,4.70425099E-1,
265.00,4.64310110E-1,
266.00,4.58395898E-1,
267.00,4.52670604E-1,
268.00,4.47127640E-1,
269.00,4.41763639E-1,
270.00,4.36579794E-1,
271.00,4.31573480E-1,
272.00,4.26737517E-1,
273.00,4.22060460E-1,
274.00,4.17527437E-1,
275.00,4.13122892E-1,
276.00,4.08834726E-1,
277.00,4.04655337E-1,
278.00,4.00578260E-1,
279.00,3.96596700E-1,
280.00,3.92699003E-1,
281.00,3.88879955E-1,
282.00,3.85133117E-1,
283.00,3.81452560E-1,
284.00,3.77833813E-1,
285.00,3.74275833E-1,
286.00,3.70774627E-1,
287.00,3.67322087E-1,
288.00,3.63908708E-1,
289.00,3.60525161E-1,
290.00,3.57168525E-1,
291.00,3.53835285E-1,
292.00,3.50523323E-1,
293.00,3.47230971E-1,
294.00,3.43960077E-1,
295.00,3.40713322E-1,
296.00,3.37494969E-1,
297.00,3.34311247E-1,
298.00,3.31167221E-1,
299.00,3.28063458E-1,
300.00,3.24999362E-1,
301.00,3.21976125E-1,
302.00,3.18992347E-1,
303.00,3.16038281E-1,
304.00,3.13101381E-1,
305.00,3.10170949E-1,
306.00,3.07237655E-1,
307.00,3.04290473E-1,
308.00,3.01322222E-1,
309.00,2.98329979E-1,
310.00,2.95315117E-1,
311.00,2.92278379E-1,
312.00,2.89222449E-1,
313.00,2.86152691E-1,
314.00,2.83078074E-1,
315.00,2.80007750E-1,
316.00,2.76949584E-1,
317.00,2.73912072E-1,
318.00,2.70904690E-1,
319.00,2.67936736E-1,
320.00,2.65011430E-1,
321.00,2.62129784E-1,
322.00,2.59291589E-1,
323.00,2.56494194E-1,
324.00,2.53733695E-1,
325.00,2.51003355E-1,
326.00,2.48295337E-1,
327.00,2.45603263E-1,
328.00,2.42925107E-1,
329.00,2.40259364E-1,
330.00,2.37606958E-1,
331.00,2.34968677E-1,
332.00,2.32347652E-1,
333.00,2.29747444E-1,
334.00,2.27173731E-1,
335.00,2.24631533E-1,
336.00,2.22128808E-1,
337.00,2.19672903E-1,
338.00,2.17271745E-1,
339.00,2.14932457E-1,
340.00,2.12661073E-1,
341.00,2.10458532E-1,
342.00,2.08324835E-1,
343.00,2.06257045E-1,
344.00,2.04248771E-1,
345.00,2.02288091E-1,
346.00,2.00365484E-1,
347.00,1.98472664E-1,
348.00,1.96607098E-1,
349.00,1.94767922E-1,
350.00,1.92958593E-1,
351.00,1.91179991E-1,
352.00,1.89432144E-1,
353.00,1.87712222E-1,
354.00,1.86018527E-1,
355.00,1.84347212E-1,
356.00,1.82696462E-1,
357.00,1.81062683E-1,
358.00,1.79443195E-1,
359.00,1.77833483E-1,
360.00,1.76232904E-1,
361.00,1.74640611E-1,
362.00,1.73059896E-1,
363.00,1.71494067E-1,
364.00,1.69953734E-1,
365.00,1.68454334E-1,
366.00,1.67028204E-1,
367.00,1.65713042E-1,
368.00,1.64542988E-1,
369.00,1.63536713E-1,
370.00,1.62682548E-1,
371.00,1.61955968E-1,
372.00,1.61327079E-1,
373.00,1.60754368E-1,
374.00,1.60186708E-1,
375.00,1.59570128E-1,
376.00,1.58861771E-1,
377.00,1.58026680E-1,
378.00,1.57042280E-1,
379.00,1.55889511E-1,
380.00,1.54560864E-1,
381.00,1.53067872E-1,
382.00,1.51456311E-1,
383.00,1.49790198E-1,
384.00,1.48135230E-1,
385.00,1.46559417E-1,
386.00,1.45156324E-1,
387.00,1.44011095E-1,
388.00,1.43164739E-1,
389.00,1.42597303E-1,
390.00,1.42225370E-1,
391.00,1.41952187E-1,
392.00,1.41722843E-1,
393.00,1.41517535E-1,
394.00,1.41369909E-1,
395.00,1.41320899E-1,
396.00,1.41358286E-1,
397.00,1.41437426E-1,
398.00,1.41521484E-1,
399.00,1.41586065E-1,
400.00,1.41645491E-1,
