Labels,T7 data_Nov 2018,
300.00,4.41809854E-4,
301.00,4.61824966E-4,
302.00,4.82570380E-4,
303.00,5.04058029E-4,
304.00,5.26299758E-4,
305.00,5.49307209E-4,
306.00,5.73092198E-4,
307.00,5.97666600E-4,
308.00,6.23042230E-4,
309.00,6.49230962E-4,
310.00,6.76244614E-4,
311.00,7.04099308E-4,
312.00,7.32828805E-4,
313.00,7.62470998E-4,
314.00,7.93063897E-4,
315.00,8.24645744E-4,
316.00,8.57254548E-4,
317.00,8.90927971E-4,
318.00,9.25704138E-4,
319.00,9.61621059E-4,
320.00,9.98716336E-4,
321.00,1.03702594E-3,
322.00,1.07657560E-3,
323.00,1.11738965E-3,
324.00,1.15949172E-3,
325.00,1.20290625E-3,
326.00,1.24765676E-3,
327.00,1.29376829E-3,
328.00,1.34126469E-3,
329.00,1.39017031E-3,
330.00,1.44050969E-3,
331.00,1.49231439E-3,
332.00,1.54564425E-3,
333.00,1.60056574E-3,
334.00,1.65714696E-3,
335.00,1.71545346E-3,
336.00,1.77555345E-3,
337.00,1.83751353E-3,
338.00,1.90140062E-3,
339.00,1.96728180E-3,
340.00,2.03522528E-3,
341.00,2.10529240E-3,
342.00,2.17752787E-3,
343.00,2.25196988E-3,
344.00,2.32865731E-3,
345.00,2.40762928E-3,
346.00,2.48892489E-3,
347.00,2.57258397E-3,
348.00,2.65864516E-3,
349.00,2.74714734E-3,
350.00,2.83813127E-3,
351.00,2.93163536E-3,
352.00,3.02770315E-3,
353.00,3.12637771E-3,
354.00,3.22770281E-3,
355.00,3.33172036E-3,
356.00,3.43847461E-3,
357.00,3.54800723E-3,
358.00,3.66036268E-3,
359.00,3.77558265E-3,
360.00,3.89371021E-3,
361.00,4.01477283E-3,
362.00,4.13873093E-3,
363.00,4.26553003E-3,
364.00,4.39511472E-3,
365.00,4.52743145E-3,
366.00,4.66242572E-3,
367.00,4.80004260E-3,
368.00,4.94022854E-3,
369.00,5.08293090E-3,
370.00,5.22809476E-3,
371.00,5.37567073E-3,
372.00,5.52562391E-3,
373.00,5.67792170E-3,
374.00,5.83253149E-3,
375.00,5.98942209E-3,
