Labels,SCA30-2-d_Oct2020,
200.00,7.91632295E-1,
201.00,7.94842780E-1,
202.00,7.98056781E-1,
203.00,8.01274002E-1,
204.00,8.04493904E-1,
205.00,8.07716191E-1,
206.00,8.10940385E-1,
207.00,8.14166069E-1,
208.00,8.17392826E-1,
209.00,8.20620179E-1,
210.00,8.23847830E-1,
211.00,8.27073574E-1,
212.00,8.30287099E-1,
213.00,8.33465636E-1,
214.00,8.36573660E-1,
215.00,8.39563191E-1,
216.00,8.42375934E-1,
217.00,8.44946980E-1,
218.00,8.47210228E-1,
219.00,8.49104583E-1,
220.00,8.50578487E-1,
221.00,8.51589322E-1,
222.00,8.52101982E-1,
223.00,8.52090061E-1,
224.00,8.51539016E-1,
225.00,8.50445330E-1,
226.00,8.48812759E-1,
227.00,8.46649706E-1,
228.00,8.43968987E-1,
229.00,8.40789258E-1,
230.00,8.37137222E-1,
231.00,8.33049238E-1,
232.00,8.28567863E-1,
233.00,8.23733509E-1,
234.00,8.18577349E-1,
235.00,8.13117981E-1,
236.00,8.07363212E-1,
237.00,8.01314175E-1,
238.00,7.94970810E-1,
239.00,7.88335323E-1,
240.00,7.81413496E-1,
241.00,7.74215281E-1,
242.00,7.66755581E-1,
243.00,7.59055734E-1,
244.00,7.51143813E-1,
245.00,7.43052542E-1,
246.00,7.34816611E-1,
247.00,7.26470053E-1,
248.00,7.18045831E-1,
249.00,7.09574878E-1,
250.00,7.01085210E-1,
251.00,6.92601025E-1,
252.00,6.84141397E-1,
253.00,6.75720990E-1,
254.00,6.67351961E-1,
255.00,6.59046888E-1,
256.00,6.50820494E-1,
257.00,6.42688930E-1,
258.00,6.34668112E-1,
259.00,6.26772881E-1,
260.00,6.19015753E-1,
261.00,6.11405432E-1,
262.00,6.03946328E-1,
263.00,5.96638858E-1,
264.00,5.89480400E-1,
265.00,5.82465708E-1,
266.00,5.75588644E-1,
267.00,5.68844199E-1,
268.00,5.62229276E-1,
269.00,5.55743337E-1,
270.00,5.49387574E-1,
271.00,5.43164492E-1,
272.00,5.37076831E-1,
273.00,5.31127036E-1,
274.00,5.25315821E-1,
275.00,5.19641340E-1,
276.00,5.14098883E-1,
277.00,5.08681417E-1,
278.00,5.03380537E-1,
279.00,4.98189032E-1,
280.00,4.93101597E-1,
281.00,4.88114953E-1,
282.00,4.83226240E-1,
283.00,4.78432149E-1,
284.00,4.73728448E-1,
285.00,4.69110548E-1,
286.00,4.64573562E-1,
287.00,4.60112333E-1,
288.00,4.55721289E-1,
289.00,4.51394647E-1,
290.00,4.47126657E-1,
291.00,4.42912102E-1,
292.00,4.38746363E-1,
293.00,4.34625626E-1,
294.00,4.30547208E-1,
295.00,4.26509589E-1,
296.00,4.22512054E-1,
297.00,4.18553859E-1,
298.00,4.14633840E-1,
299.00,4.10750329E-1,
300.00,4.06901330E-1,
301.00,4.03084695E-1,
302.00,3.99298102E-1,
303.00,3.95538688E-1,
304.00,3.91802549E-1,
305.00,3.88084561E-1,
306.00,3.84378612E-1,
307.00,3.80678266E-1,
308.00,3.76977235E-1,
309.00,3.73269677E-1,
310.00,3.69550705E-1,
311.00,3.65816593E-1,
312.00,3.62065256E-1,
313.00,3.58296216E-1,
314.00,3.54510635E-1,
315.00,3.50711703E-1,
316.00,3.46904606E-1,
317.00,3.43096226E-1,
318.00,3.39293927E-1,
319.00,3.35504681E-1,
320.00,3.31734627E-1,
321.00,3.27989221E-1,
322.00,3.24274182E-1,
323.00,3.20595175E-1,
324.00,3.16957355E-1,
325.00,3.13364476E-1,
326.00,3.09818923E-1,
327.00,3.06321979E-1,
328.00,3.02874744E-1,
329.00,2.99478740E-1,
330.00,2.96135843E-1,
331.00,2.92848110E-1,
332.00,2.89617449E-1,
333.00,2.86445141E-1,
334.00,2.83331484E-1,
335.00,2.80275762E-1,
336.00,2.77276874E-1,
337.00,2.74333656E-1,
338.00,2.71445066E-1,
339.00,2.68610239E-1,
340.00,2.65828371E-1,
341.00,2.63098776E-1,
342.00,2.60421544E-1,
343.00,2.57797927E-1,
344.00,2.55231172E-1,
345.00,2.52726018E-1,
346.00,2.50287741E-1,
347.00,2.47920990E-1,
348.00,2.45629296E-1,
349.00,2.43414760E-1,
350.00,2.41277888E-1,
351.00,2.39216998E-1,
352.00,2.37228304E-1,
353.00,2.35306591E-1,
354.00,2.33446196E-1,
355.00,2.31641844E-1,
356.00,2.29889065E-1,
357.00,2.28184268E-1,
358.00,2.26524666E-1,
359.00,2.24907860E-1,
360.00,2.23331735E-1,
361.00,2.21794277E-1,
362.00,2.20293507E-1,
363.00,2.18827352E-1,
364.00,2.17393190E-1,
365.00,2.15987638E-1,
366.00,2.14606702E-1,
367.00,2.13246301E-1,
368.00,2.11903349E-1,
369.00,2.10576996E-1,
370.00,2.09268987E-1,
371.00,2.07982555E-1,
372.00,2.06720367E-1,
373.00,2.05482364E-1,
374.00,2.04264268E-1,
375.00,2.03057334E-1,
376.00,2.01848850E-1,
377.00,2.00623408E-1,
378.00,1.99364588E-1,
379.00,1.98057294E-1,
380.00,1.96691290E-1,
381.00,1.95264161E-1,
382.00,1.93782225E-1,
383.00,1.92258582E-1,
384.00,1.90709978E-1,
385.00,1.89154088E-1,
386.00,1.87607214E-1,
387.00,1.86082423E-1,
388.00,1.84588626E-1,
389.00,1.83130816E-1,
390.00,1.81710631E-1,
391.00,1.80326089E-1,
392.00,1.78971246E-1,
393.00,1.77637890E-1,
394.00,1.76319614E-1,
395.00,1.75014749E-1,
396.00,1.73724815E-1,
397.00,1.72450036E-1,
398.00,1.71186700E-1,
399.00,1.69928864E-1,
400.00,1.68672279E-1,
