Labels,SCA30-2-t_old data from 844_Oct2020,
300.00,1.38624699E-3,
301.00,1.37582445E-3,
302.00,1.36545079E-3,
303.00,1.35520461E-3,
304.00,1.34519464E-3,
305.00,1.33555406E-3,
306.00,1.32643478E-3,
307.00,1.31800142E-3,
308.00,1.31042697E-3,
309.00,1.30388851E-3,
310.00,1.29856274E-3,
311.00,1.29462394E-3,
312.00,1.29224092E-3,
313.00,1.29157573E-3,
314.00,1.29278156E-3,
315.00,1.29600242E-3,
316.00,1.30137266E-3,
317.00,1.30901637E-3,
318.00,1.31904788E-3,
319.00,1.33157196E-3,
320.00,1.34668394E-3,
321.00,1.36447093E-3,
322.00,1.38501124E-3,
323.00,1.40837580E-3,
324.00,1.43462780E-3,
325.00,1.46382407E-3,
326.00,1.49601488E-3,
327.00,1.53124507E-3,
328.00,1.56955502E-3,
329.00,1.61098118E-3,
330.00,1.65555754E-3,
331.00,1.70331623E-3,
332.00,1.75428868E-3,
333.00,1.80850679E-3,
334.00,1.86600350E-3,
335.00,1.92681386E-3,
336.00,1.99097535E-3,
337.00,2.05852813E-3,
338.00,2.12951610E-3,
339.00,2.20398582E-3,
340.00,2.28198734E-3,
341.00,2.36357376E-3,
342.00,2.44880002E-3,
343.00,2.53772363E-3,
344.00,2.63040187E-3,
345.00,2.72689294E-3,
346.00,2.82725249E-3,
347.00,2.93153478E-3,
348.00,3.03978915E-3,
349.00,3.15206056E-3,
350.00,3.26838740E-3,
351.00,3.38880089E-3,
352.00,3.51332477E-3,
353.00,3.64197372E-3,
354.00,3.77475447E-3,
355.00,3.91166378E-3,
356.00,4.05269023E-3,
357.00,4.19781310E-3,
358.00,4.34700353E-3,
359.00,4.50022565E-3,
360.00,4.65743430E-3,
361.00,4.81857872E-3,
362.00,4.98360116E-3,
363.00,5.15243644E-3,
364.00,5.32501237E-3,
365.00,5.50124841E-3,
366.00,5.68105746E-3,
367.00,5.86434174E-3,
368.00,6.05099555E-3,
369.00,6.24090293E-3,
370.00,6.43393770E-3,
371.00,6.62996527E-3,
372.00,6.82884175E-3,
373.00,7.03041721E-3,
374.00,7.23453611E-3,
375.00,7.44104059E-3,
376.00,7.64977513E-3,
377.00,7.86058791E-3,
378.00,8.07333738E-3,
379.00,8.28789454E-3,
380.00,8.50414950E-3,
381.00,8.72201379E-3,
382.00,8.94142780E-3,
383.00,9.16235801E-3,
384.00,9.38480720E-3,
385.00,9.60881170E-3,
386.00,9.83444508E-3,
387.00,1.00618172E-2,
388.00,1.02910716E-2,
389.00,1.05223870E-2,
390.00,1.07559636E-2,
391.00,1.09920222E-2,
392.00,1.12307845E-2,
393.00,1.14724729E-2,
394.00,1.17173092E-2,
395.00,1.19655160E-2,
396.00,1.22173158E-2,
397.00,1.24729304E-2,
398.00,1.27325822E-2,
399.00,1.29964938E-2,
400.00,1.32648870E-2,
401.00,1.35379834E-2,
402.00,1.38160074E-2,
403.00,1.40991788E-2,
404.00,1.43877212E-2,
405.00,1.46818571E-2,
406.00,1.49818072E-2,
407.00,1.52877960E-2,
408.00,1.56000433E-2,
409.00,1.59187745E-2,
410.00,1.62442084E-2,
411.00,1.65765695E-2,
412.00,1.69160776E-2,
413.00,1.72629599E-2,
414.00,1.76174324E-2,
415.00,1.79797225E-2,
416.00,1.83500499E-2,
417.00,1.87286362E-2,
418.00,1.91157069E-2,
419.00,1.95114799E-2,
420.00,1.99161824E-2,
421.00,2.03300323E-2,
422.00,2.07532328E-2,
423.00,2.11858898E-2,
424.00,2.16280110E-2,
425.00,2.20795255E-2,
426.00,2.25403048E-2,
427.00,2.30101831E-2,
428.00,2.34889593E-2,
429.00,2.39764191E-2,
430.00,2.44723391E-2,
431.00,2.49765012E-2,
432.00,2.54886858E-2,
433.00,2.60086898E-2,
434.00,2.65363231E-2,
435.00,2.70714127E-2,
436.00,2.76138037E-2,
437.00,2.81633623E-2,
438.00,2.87199747E-2,
439.00,2.92835440E-2,
440.00,2.98539959E-2,
441.00,3.04312743E-2,
442.00,3.10153384E-2,
443.00,3.16061713E-2,
444.00,3.22037674E-2,
445.00,3.28081436E-2,
446.00,3.34193259E-2,
447.00,3.40373553E-2,
448.00,3.46622877E-2,
449.00,3.52941938E-2,
450.00,3.59331518E-2,
451.00,3.65792401E-2,
452.00,3.72325592E-2,
453.00,3.78932022E-2,
454.00,3.85612696E-2,
455.00,3.92368659E-2,
456.00,3.99200805E-2,
457.00,4.06110175E-2,
458.00,4.13097665E-2,
459.00,4.20164168E-2,
460.00,4.27310430E-2,
461.00,4.34537232E-2,
462.00,4.41845208E-2,
463.00,4.49234918E-2,
464.00,4.56706919E-2,
465.00,4.64261547E-2,
466.00,4.71899211E-2,
467.00,4.79620136E-2,
468.00,4.87424545E-2,
469.00,4.95312586E-2,
470.00,5.03284335E-2,
471.00,5.11339828E-2,
472.00,5.19479029E-2,
473.00,5.27701899E-2,
474.00,5.36008365E-2,
475.00,5.44398278E-2,
476.00,5.52871525E-2,
477.00,5.61427996E-2,
478.00,5.70067465E-2,
479.00,5.78789748E-2,
480.00,5.87594733E-2,
481.00,5.96482120E-2,
482.00,6.05451688E-2,
483.00,6.14503175E-2,
484.00,6.23636208E-2,
485.00,6.32850453E-2,
486.00,6.42145351E-2,
487.00,6.51520416E-2,
488.00,6.60975054E-2,
489.00,6.70508444E-2,
490.00,6.80119693E-2,
491.00,6.89807981E-2,
492.00,6.99572042E-2,
493.00,7.09410682E-2,
494.00,7.19322711E-2,
495.00,7.29306564E-2,
496.00,7.39360824E-2,
497.00,7.49484077E-2,
498.00,7.59674758E-2,
499.00,7.69931599E-2,
500.00,7.80253187E-2,
