Labels,sca-30-d3_Nov2019,
200.00,5.67728102E-1,
201.00,5.79593122E-1,
202.00,5.91463506E-1,
203.00,6.03341222E-1,
204.00,6.15219414E-1,
205.00,6.27086401E-1,
206.00,6.38931096E-1,
207.00,6.50744081E-1,
208.00,6.62514806E-1,
209.00,6.74230576E-1,
210.00,6.85876310E-1,
211.00,6.97434783E-1,
212.00,7.08889008E-1,
213.00,7.20222175E-1,
214.00,7.31417775E-1,
215.00,7.42458999E-1,
216.00,7.53328681E-1,
217.00,7.64008701E-1,
218.00,7.74483025E-1,
219.00,7.84742117E-1,
220.00,7.94784904E-1,
221.00,8.04620326E-1,
222.00,8.14267099E-1,
223.00,8.23749483E-1,
224.00,8.33091378E-1,
225.00,8.42307985E-1,
226.00,8.51397574E-1,
227.00,8.60342503E-1,
228.00,8.69119525E-1,
229.00,8.77711892E-1,
230.00,8.86113584E-1,
231.00,8.94328475E-1,
232.00,9.02366817E-1,
233.00,9.10240471E-1,
234.00,9.17955101E-1,
235.00,9.25503790E-1,
236.00,9.32870686E-1,
237.00,9.40034986E-1,
238.00,9.46971178E-1,
239.00,9.53643799E-1,
240.00,9.60002482E-1,
241.00,9.65981305E-1,
242.00,9.71500814E-1,
243.00,9.76469874E-1,
244.00,9.80790913E-1,
245.00,9.84365523E-1,
246.00,9.87100184E-1,
247.00,9.88909423E-1,
248.00,9.89715397E-1,
249.00,9.89450395E-1,
250.00,9.88061309E-1,
251.00,9.85514522E-1,
252.00,9.81798887E-1,
253.00,9.76928413E-1,
254.00,9.70944285E-1,
255.00,9.63915110E-1,
256.00,9.55930114E-1,
257.00,9.47092712E-1,
258.00,9.37515378E-1,
259.00,9.27316189E-1,
260.00,9.16615009E-1,
261.00,9.05528724E-1,
262.00,8.94169509E-1,
263.00,8.82643402E-1,
264.00,8.71048808E-1,
265.00,8.59475195E-1,
266.00,8.48002017E-1,
267.00,8.36697996E-1,
268.00,8.25621128E-1,
269.00,8.14818084E-1,
270.00,8.04324687E-1,
271.00,7.94165492E-1,
272.00,7.84353077E-1,
273.00,7.74886608E-1,
274.00,7.65753984E-1,
275.00,7.56934702E-1,
276.00,7.48400927E-1,
277.00,7.40118980E-1,
278.00,7.32051790E-1,
279.00,7.24162221E-1,
280.00,7.16415107E-1,
281.00,7.08778381E-1,
282.00,7.01224208E-1,
283.00,6.93728089E-1,
284.00,6.86268926E-1,
285.00,6.78829074E-1,
286.00,6.71395123E-1,
287.00,6.63957119E-1,
288.00,6.56508505E-1,
289.00,6.49046302E-1,
290.00,6.41570985E-1,
291.00,6.34087086E-1,
292.00,6.26601875E-1,
293.00,6.19125009E-1,
294.00,6.11668825E-1,
295.00,6.04247808E-1,
296.00,5.96878409E-1,
297.00,5.89577913E-1,
298.00,5.82363486E-1,
299.00,5.75253010E-1,
300.00,5.68263590E-1,
301.00,5.61413109E-1,
302.00,5.54718673E-1,
303.00,5.48197329E-1,
304.00,5.41865289E-1,
305.00,5.35737991E-1,
306.00,5.29830217E-1,
307.00,5.24155498E-1,
308.00,5.18726230E-1,
309.00,5.13553977E-1,
310.00,5.08649409E-1,
311.00,5.04021823E-1,
312.00,4.99678791E-1,
313.00,4.95625794E-1,
314.00,4.91864711E-1,
315.00,4.88392800E-1,
316.00,4.85201299E-1,
317.00,4.82274413E-1,
318.00,4.79589313E-1,
319.00,4.77117985E-1,
320.00,4.74830687E-1,
321.00,4.72700685E-1,
322.00,4.70705509E-1,
323.00,4.68826294E-1,
324.00,4.67045486E-1,
325.00,4.65346098E-1,
326.00,4.63712186E-1,
327.00,4.62130696E-1,
328.00,4.60592210E-1,
329.00,4.59089786E-1,
330.00,4.57617402E-1,
331.00,4.56167698E-1,
332.00,4.54731196E-1,
333.00,4.53297704E-1,
334.00,4.51857388E-1,
335.00,4.50400293E-1,
336.00,4.48916286E-1,
337.00,4.47395414E-1,
338.00,4.45827693E-1,
339.00,4.44202393E-1,
340.00,4.42506105E-1,
341.00,4.40724194E-1,
342.00,4.38845009E-1,
343.00,4.36862200E-1,
344.00,4.34774607E-1,
345.00,4.32583690E-1,
346.00,4.30294007E-1,
347.00,4.27911788E-1,
348.00,4.25444603E-1,
349.00,4.22899604E-1,
350.00,4.20283496E-1,
351.00,4.17602211E-1,
352.00,4.14859295E-1,
353.00,4.12057102E-1,
354.00,4.09200490E-1,
355.00,4.06299591E-1,
356.00,4.03367609E-1,
357.00,4.00417209E-1,
358.00,3.97457391E-1,
359.00,3.94492507E-1,
360.00,3.91523689E-1,
361.00,3.88551414E-1,
362.00,3.85575294E-1,
363.00,3.82594585E-1,
364.00,3.79608214E-1,
365.00,3.76617312E-1,
366.00,3.73626202E-1,
367.00,3.70642096E-1,
368.00,3.67673486E-1,
369.00,3.64730597E-1,
370.00,3.61824691E-1,
371.00,3.58968288E-1,
372.00,3.56171608E-1,
373.00,3.53441089E-1,
374.00,3.50778311E-1,
375.00,3.48179102E-1,
376.00,3.45634490E-1,
377.00,3.43131989E-1,
378.00,3.40659112E-1,
379.00,3.38207096E-1,
380.00,3.35775912E-1,
381.00,3.33375692E-1,
382.00,3.31024796E-1,
383.00,3.28746200E-1,
384.00,3.26563686E-1,
385.00,3.24498892E-1,
386.00,3.22568804E-1,
387.00,3.20782095E-1,
388.00,3.19139302E-1,
389.00,3.17633688E-1,
390.00,3.16253394E-1,
391.00,3.14979613E-1,
392.00,3.13788801E-1,
393.00,3.12659204E-1,
394.00,3.11578214E-1,
395.00,3.10540795E-1,
396.00,3.09542596E-1,
397.00,3.08572799E-1,
398.00,3.07615787E-1,
399.00,3.06659609E-1,
400.00,3.05701286E-1,
