Labels,sca-30-t3_final,
300.00,1.25681099E+2,
301.00,1.43855698E+2,
302.00,1.62160797E+2,
303.00,1.80779694E+2,
304.00,1.99926697E+2,
305.00,2.19818405E+2,
306.00,2.40639008E+2,
307.00,2.62532104E+2,
308.00,2.85653503E+2,
309.00,3.10177307E+2,
310.00,3.36274689E+2,
311.00,3.64104401E+2,
312.00,3.93796387E+2,
313.00,4.25480713E+2,
314.00,4.59270508E+2,
315.00,4.95275085E+2,
316.00,5.33600220E+2,
317.00,5.74289612E+2,
318.00,6.17372986E+2,
319.00,6.62873718E+2,
320.00,7.10767090E+2,
321.00,7.61054688E+2,
322.00,8.13780823E+2,
323.00,8.69015686E+2,
324.00,9.26837891E+2,
325.00,9.87330078E+2,
326.00,1.05052405E+3,
327.00,1.11647998E+3,
328.00,1.18522803E+3,
329.00,1.25687805E+3,
330.00,1.33165796E+3,
331.00,1.40981299E+3,
332.00,1.49155200E+3,
333.00,1.57695605E+3,
334.00,1.66604797E+3,
335.00,1.75890906E+3,
336.00,1.85558398E+3,
337.00,1.95612598E+3,
338.00,2.06065210E+3,
339.00,2.16931494E+3,
340.00,2.28224707E+3,
341.00,2.39947998E+3,
342.00,2.52094800E+3,
343.00,2.64663696E+3,
344.00,2.77656201E+3,
345.00,2.91078394E+3,
346.00,3.04931396E+3,
347.00,3.19208911E+3,
348.00,3.33907495E+3,
349.00,3.49040088E+3,
350.00,3.64625293E+3,
351.00,3.80690308E+3,
352.00,3.97259790E+3,
353.00,4.14339600E+3,
354.00,4.31933301E+3,
355.00,4.50042090E+3,
356.00,4.68664990E+3,
357.00,4.87801221E+3,
358.00,5.07441895E+3,
359.00,5.27582324E+3,
360.00,5.48228516E+3,
361.00,5.69387891E+3,
362.00,5.91066211E+3,
363.00,6.13260693E+3,
364.00,6.35960400E+3,
365.00,6.59165088E+3,
366.00,6.82867578E+3,
367.00,7.07061084E+3,
368.00,7.31731396E+3,
369.00,7.56863477E+3,
370.00,7.82457520E+3,
